Logistics_ID,Ref_OrderID,Delivery_Status
TRK-900227,ORD-100227,RTO
TRK-900228,ORD-100228,Delivered
TRK-900229,ORD-100229,RTO
TRK-900230,ORD-100230,In Transit
TRK-900231,ORD-100231,Delivered
TRK-900232,ORD-100232,RTO
TRK-900233,ORD-100233,In Transit
TRK-900234,ORD-100234,Delivered
TRK-900235,ORD-100235,RTO
TRK-900236,ORD-100236,Delivered
TRK-900237,ORD-100237,In Transit
TRK-900238,ORD-100238,Delivered
TRK-900240,ORD-100240,In Transit
TRK-900241,ORD-100241,RTO
TRK-900242,ORD-100242,RTO
TRK-900243,ORD-100243,Delivered
TRK-900244,ORD-100244,In Transit
TRK-900245,ORD-100245,Delivered
TRK-900246,ORD-100246,Delivered
TRK-900247,ORD-100247,In Transit
TRK-900248,ORD-100248,RTO
TRK-900249,ORD-100249,RTO
TRK-900250,ORD-100250,Delivered
TRK-900251,ORD-100251,In Transit
TRK-900252,ORD-100252,RTO
TRK-900253,ORD-100253,RTO
TRK-900255,ORD-100255,Delivered
TRK-900256,ORD-100256,Delivered
TRK-900257,ORD-100257,RTO
TRK-900258,ORD-100258,RTO
TRK-900259,ORD-100259,RTO
TRK-900260,ORD-100260,RTO
TRK-900261,ORD-100261,Delivered
TRK-900262,ORD-100262,Delivered
TRK-900263,ORD-100263,RTO
TRK-900264,ORD-100264,RTO
TRK-900265,ORD-100265,Delivered
TRK-900266,ORD-100266,Delivered
TRK-900267,ORD-100267,RTO
TRK-900268,ORD-100268,Delivered
TRK-900269,ORD-100269,In Transit
TRK-900270,ORD-100270,RTO
TRK-900271,ORD-100271,Delivered
TRK-900272,ORD-100272,Delivered
TRK-900273,ORD-100273,Delivered
TRK-900274,ORD-100274,Delivered
TRK-900275,ORD-100275,RTO
TRK-900276,ORD-100276,In Transit
TRK-900278,ORD-100278,In Transit
TRK-900279,ORD-100279,Delivered
TRK-900280,ORD-100280,RTO
TRK-900281,ORD-100281,Delivered
TRK-900282,ORD-100282,Delivered
TRK-900283,ORD-100283,In Transit
TRK-900284,ORD-100284,Delivered
TRK-900285,ORD-100285,In Transit
TRK-900286,ORD-100286,RTO
TRK-900287,ORD-100287,In Transit
TRK-900288,ORD-100288,In Transit
TRK-900289,ORD-100289,Delivered
TRK-900290,ORD-100290,In Transit
TRK-900291,ORD-100291,In Transit
TRK-900292,ORD-100292,In Transit
TRK-900293,ORD-100293,In Transit
TRK-900294,ORD-100294,Delivered
TRK-900295,ORD-100295,In Transit
TRK-900296,ORD-100296,RTO
TRK-900297,ORD-100297,RTO
TRK-900298,ORD-100298,Delivered
TRK-900299,ORD-100299,RTO
TRK-900300,ORD-100300,Delivered
TRK-900301,ORD-100301,In Transit
TRK-900302,ORD-100302,In Transit
TRK-900303,ORD-100303,Delivered
TRK-900304,ORD-100304,In Transit
TRK-900305,ORD-100305,RTO
TRK-900307,ORD-100307,Delivered
TRK-900308,ORD-100308,In Transit
TRK-900309,ORD-100309,Delivered
TRK-900310,ORD-100310,Delivered
TRK-900311,ORD-100311,Delivered
TRK-900312,ORD-100312,Delivered
TRK-900313,ORD-100313,Delivered
TRK-900314,ORD-100314,RTO
TRK-900315,ORD-100315,In Transit
TRK-900316,ORD-100316,RTO
TRK-900317,ORD-100317,In Transit
TRK-900318,ORD-100318,Delivered
TRK-900319,ORD-100319,Delivered
TRK-900320,ORD-100320,RTO
TRK-900321,ORD-100321,RTO
TRK-900322,ORD-100322,In Transit
TRK-900323,ORD-100323,Delivered
TRK-900324,ORD-100324,Delivered
TRK-900325,ORD-100325,Delivered
TRK-900326,ORD-100326,RTO
TRK-900327,ORD-100327,RTO
TRK-900328,ORD-100328,Delivered
TRK-900329,ORD-100329,RTO
TRK-900330,ORD-100330,RTO
TRK-900331,ORD-100331,Delivered
TRK-900332,ORD-100332,Delivered
TRK-900333,ORD-100333,In Transit
TRK-900334,ORD-100334,In Transit
TRK-900335,ORD-100335,RTO
TRK-900336,ORD-100336,In Transit
TRK-900337,ORD-100337,RTO
TRK-900338,ORD-100338,In Transit
TRK-900340,ORD-100340,Delivered
TRK-900341,ORD-100341,RTO
TRK-900342,ORD-100342,RTO
TRK-900343,ORD-100343,Delivered
TRK-900344,ORD-100344,RTO
TRK-900347,ORD-100347,Delivered
TRK-900348,ORD-100348,RTO
TRK-900349,ORD-100349,In Transit
TRK-900350,ORD-100350,In Transit
TRK-900351,ORD-100351,Delivered
TRK-900352,ORD-100352,RTO
TRK-900353,ORD-100353,In Transit
TRK-900354,ORD-100354,In Transit
TRK-900355,ORD-100355,In Transit
TRK-900356,ORD-100356,In Transit
TRK-900357,ORD-100357,RTO
TRK-900358,ORD-100358,Delivered
TRK-900359,ORD-100359,In Transit
TRK-900360,ORD-100360,Delivered
TRK-900361,ORD-100361,RTO
TRK-900362,ORD-100362,Delivered
TRK-900363,ORD-100363,In Transit
TRK-900364,ORD-100364,RTO
TRK-900365,ORD-100365,RTO
TRK-900366,ORD-100366,RTO
TRK-900367,ORD-100367,In Transit
TRK-900368,ORD-100368,In Transit
TRK-900369,ORD-100369,Delivered
TRK-900370,ORD-100370,Delivered
TRK-900372,ORD-100372,RTO
TRK-900373,ORD-100373,RTO
TRK-900374,ORD-100374,In Transit
TRK-900375,ORD-100375,Delivered
TRK-900376,ORD-100376,RTO
TRK-900377,ORD-100377,Delivered
TRK-900378,ORD-100378,RTO
TRK-900379,ORD-100379,In Transit
TRK-900380,ORD-100380,Delivered
TRK-900382,ORD-100382,Delivered
TRK-900383,ORD-100383,Delivered
TRK-900384,ORD-100384,RTO
TRK-900385,ORD-100385,RTO
TRK-900386,ORD-100386,RTO
TRK-900387,ORD-100387,RTO
TRK-900388,ORD-100388,Delivered
TRK-900389,ORD-100389,In Transit
TRK-900390,ORD-100390,RTO
TRK-900391,ORD-100391,In Transit
TRK-900392,ORD-100392,RTO
TRK-900393,ORD-100393,Delivered
TRK-900394,ORD-100394,Delivered
TRK-900395,ORD-100395,In Transit
TRK-900396,ORD-100396,Delivered
TRK-900397,ORD-100397,RTO
TRK-900398,ORD-100398,RTO
TRK-900399,ORD-100399,RTO
TRK-900400,ORD-100400,In Transit
TRK-900401,ORD-100401,Delivered
TRK-900402,ORD-100402,Delivered
TRK-900403,ORD-100403,Delivered
TRK-900404,ORD-100404,RTO
TRK-900405,ORD-100405,In Transit
TRK-900406,ORD-100406,In Transit
TRK-900407,ORD-100407,RTO
TRK-900408,ORD-100408,Delivered
TRK-900409,ORD-100409,In Transit
TRK-900410,ORD-100410,RTO
TRK-900411,ORD-100411,Delivered
TRK-900412,ORD-100412,Delivered
TRK-900414,ORD-100414,Delivered
TRK-900415,ORD-100415,In Transit
TRK-900416,ORD-100416,RTO
TRK-900417,ORD-100417,RTO
TRK-900418,ORD-100418,RTO
TRK-900419,ORD-100419,RTO
TRK-900420,ORD-100420,In Transit
TRK-900421,ORD-100421,RTO
TRK-900422,ORD-100422,Delivered
TRK-900423,ORD-100423,In Transit
TRK-900424,ORD-100424,Delivered
TRK-900425,ORD-100425,Delivered
TRK-900426,ORD-100426,Delivered
TRK-900427,ORD-100427,Delivered
TRK-900429,ORD-100429,Delivered
TRK-900430,ORD-100430,RTO
TRK-900431,ORD-100431,Delivered
TRK-900432,ORD-100432,Delivered
TRK-900433,ORD-100433,In Transit
TRK-900434,ORD-100434,In Transit
TRK-900435,ORD-100435,Delivered
TRK-900436,ORD-100436,Delivered
TRK-900437,ORD-100437,Delivered
TRK-900438,ORD-100438,In Transit
TRK-900439,ORD-100439,In Transit
TRK-900440,ORD-100440,Delivered
TRK-900441,ORD-100441,In Transit
TRK-900442,ORD-100442,RTO
TRK-900443,ORD-100443,In Transit
TRK-900444,ORD-100444,In Transit
TRK-900445,ORD-100445,Delivered
TRK-900446,ORD-100446,Delivered
TRK-900447,ORD-100447,In Transit
TRK-900448,ORD-100448,Delivered
TRK-900449,ORD-100449,Delivered
TRK-900450,ORD-100450,In Transit
TRK-900451,ORD-100451,Delivered
TRK-900452,ORD-100452,RTO
TRK-900453,ORD-100453,Delivered
TRK-900454,ORD-100454,RTO
TRK-900455,ORD-100455,Delivered
TRK-900456,ORD-100456,In Transit
TRK-900457,ORD-100457,RTO
TRK-900458,ORD-100458,Delivered
TRK-900459,ORD-100459,Delivered
TRK-900460,ORD-100460,In Transit
TRK-900461,ORD-100461,RTO
TRK-900462,ORD-100462,In Transit
TRK-900463,ORD-100463,RTO
TRK-900465,ORD-100465,In Transit
TRK-900466,ORD-100466,RTO
TRK-900467,ORD-100467,RTO
TRK-900468,ORD-100468,RTO
TRK-900469,ORD-100469,In Transit
TRK-900470,ORD-100470,Delivered
TRK-900471,ORD-100471,RTO
TRK-900472,ORD-100472,RTO
TRK-900473,ORD-100473,In Transit
TRK-900474,ORD-100474,Delivered
TRK-900475,ORD-100475,In Transit
TRK-900476,ORD-100476,RTO
TRK-900477,ORD-100477,Delivered
TRK-900478,ORD-100478,RTO
TRK-900479,ORD-100479,Delivered
TRK-900480,ORD-100480,Delivered
TRK-900481,ORD-100481,Delivered
TRK-900482,ORD-100482,Delivered
TRK-900483,ORD-100483,RTO
TRK-900484,ORD-100484,Delivered
TRK-900485,ORD-100485,RTO
TRK-900486,ORD-100486,Delivered
TRK-900487,ORD-100487,RTO
TRK-900488,ORD-100488,RTO
TRK-900489,ORD-100489,Delivered
TRK-900490,ORD-100490,RTO
TRK-900491,ORD-100491,RTO
TRK-900492,ORD-100492,In Transit
TRK-900493,ORD-100493,RTO
TRK-900494,ORD-100494,RTO
TRK-900495,ORD-100495,RTO
TRK-900496,ORD-100496,In Transit
TRK-900497,ORD-100497,In Transit
TRK-900498,ORD-100498,In Transit
TRK-900499,ORD-100499,RTO
TRK-900500,ORD-100500,In Transit
TRK-900501,ORD-100501,In Transit
TRK-900502,ORD-100502,Delivered
TRK-900503,ORD-100503,Delivered
TRK-900504,ORD-100504,In Transit
TRK-900505,ORD-100505,Delivered
TRK-900506,ORD-100506,RTO
TRK-900507,ORD-100507,RTO
TRK-900508,ORD-100508,In Transit
TRK-900510,ORD-100510,Delivered
TRK-900512,ORD-100512,In Transit
TRK-900513,ORD-100513,Delivered
TRK-900514,ORD-100514,In Transit
TRK-900515,ORD-100515,RTO
TRK-900516,ORD-100516,In Transit
TRK-900517,ORD-100517,RTO
TRK-900518,ORD-100518,Delivered
TRK-900519,ORD-100519,Delivered
TRK-900520,ORD-100520,Delivered
TRK-900522,ORD-100522,In Transit
TRK-900523,ORD-100523,In Transit
TRK-900524,ORD-100524,Delivered
TRK-900525,ORD-100525,In Transit
TRK-900526,ORD-100526,Delivered
TRK-900527,ORD-100527,In Transit
TRK-900528,ORD-100528,In Transit
TRK-900529,ORD-100529,In Transit
TRK-900530,ORD-100530,RTO
TRK-900531,ORD-100531,Delivered
TRK-900532,ORD-100532,Delivered
TRK-900533,ORD-100533,Delivered
TRK-900534,ORD-100534,Delivered
TRK-900535,ORD-100535,In Transit
TRK-900536,ORD-100536,RTO
TRK-900537,ORD-100537,Delivered
TRK-900538,ORD-100538,Delivered
TRK-900539,ORD-100539,Delivered
TRK-900540,ORD-100540,In Transit
TRK-900541,ORD-100541,Delivered
TRK-900542,ORD-100542,RTO
TRK-900544,ORD-100544,RTO
TRK-900545,ORD-100545,Delivered
TRK-900546,ORD-100546,In Transit
TRK-900547,ORD-100547,In Transit
TRK-900548,ORD-100548,RTO
TRK-900549,ORD-100549,Delivered
TRK-900550,ORD-100550,In Transit
TRK-900551,ORD-100551,Delivered
TRK-900552,ORD-100552,RTO
TRK-900553,ORD-100553,RTO
TRK-900554,ORD-100554,RTO
TRK-900555,ORD-100555,In Transit
TRK-900556,ORD-100556,RTO
TRK-900557,ORD-100557,In Transit
TRK-900558,ORD-100558,Delivered
TRK-900559,ORD-100559,RTO
TRK-900560,ORD-100560,RTO
TRK-900562,ORD-100562,RTO
TRK-900563,ORD-100563,RTO
TRK-900564,ORD-100564,In Transit
TRK-900565,ORD-100565,In Transit
TRK-900566,ORD-100566,RTO
TRK-900567,ORD-100567,Delivered
TRK-900568,ORD-100568,RTO
TRK-900569,ORD-100569,Delivered
TRK-900570,ORD-100570,In Transit
TRK-900571,ORD-100571,In Transit
TRK-900572,ORD-100572,Delivered
TRK-900573,ORD-100573,RTO
TRK-900574,ORD-100574,Delivered
TRK-900575,ORD-100575,RTO
TRK-900576,ORD-100576,Delivered
TRK-900577,ORD-100577,Delivered
TRK-900578,ORD-100578,Delivered
TRK-900579,ORD-100579,Delivered
TRK-900580,ORD-100580,Delivered
TRK-900581,ORD-100581,Delivered
TRK-900583,ORD-100583,RTO
TRK-900584,ORD-100584,RTO
TRK-900585,ORD-100585,In Transit
TRK-900586,ORD-100586,Delivered
TRK-900587,ORD-100587,RTO
TRK-900588,ORD-100588,RTO
TRK-900589,ORD-100589,Delivered
TRK-900590,ORD-100590,RTO
TRK-900591,ORD-100591,RTO
TRK-900592,ORD-100592,RTO
TRK-900593,ORD-100593,In Transit
TRK-900594,ORD-100594,In Transit
TRK-900595,ORD-100595,Delivered
TRK-900596,ORD-100596,In Transit
TRK-900597,ORD-100597,RTO
TRK-900598,ORD-100598,Delivered
TRK-900599,ORD-100599,In Transit
TRK-900600,ORD-100600,RTO
TRK-900601,ORD-100601,Delivered
TRK-900602,ORD-100602,In Transit
TRK-900603,ORD-100603,Delivered
TRK-900604,ORD-100604,Delivered
TRK-900605,ORD-100605,RTO
TRK-900606,ORD-100606,Delivered
TRK-900607,ORD-100607,Delivered
TRK-900608,ORD-100608,RTO
TRK-900609,ORD-100609,Delivered
TRK-900610,ORD-100610,Delivered
TRK-900611,ORD-100611,Delivered
TRK-900612,ORD-100612,RTO
TRK-900613,ORD-100613,RTO
TRK-900614,ORD-100614,Delivered
TRK-900615,ORD-100615,Delivered
TRK-900616,ORD-100616,RTO
TRK-900617,ORD-100617,In Transit
TRK-900618,ORD-100618,Delivered
TRK-900619,ORD-100619,RTO
TRK-900620,ORD-100620,In Transit
TRK-900621,ORD-100621,Delivered
TRK-900622,ORD-100622,Delivered
TRK-900623,ORD-100623,In Transit
TRK-900624,ORD-100624,RTO
TRK-900625,ORD-100625,RTO
TRK-900627,ORD-100627,RTO
TRK-900628,ORD-100628,In Transit
TRK-900629,ORD-100629,RTO
TRK-900630,ORD-100630,Delivered
TRK-900631,ORD-100631,In Transit
TRK-900632,ORD-100632,Delivered
TRK-900633,ORD-100633,In Transit
TRK-900634,ORD-100634,In Transit
TRK-900635,ORD-100635,In Transit
TRK-900636,ORD-100636,Delivered
TRK-900637,ORD-100637,In Transit
TRK-900638,ORD-100638,Delivered
TRK-900639,ORD-100639,RTO
TRK-900640,ORD-100640,RTO
TRK-900641,ORD-100641,Delivered
TRK-900642,ORD-100642,In Transit
TRK-900643,ORD-100643,Delivered
TRK-900644,ORD-100644,RTO
TRK-900645,ORD-100645,Delivered
TRK-900646,ORD-100646,In Transit
TRK-900647,ORD-100647,RTO
TRK-900648,ORD-100648,RTO
TRK-900649,ORD-100649,In Transit
TRK-900650,ORD-100650,Delivered
TRK-900651,ORD-100651,RTO
TRK-900652,ORD-100652,Delivered
TRK-900653,ORD-100653,RTO
TRK-900654,ORD-100654,Delivered
TRK-900655,ORD-100655,In Transit
TRK-900656,ORD-100656,In Transit
TRK-900657,ORD-100657,In Transit
TRK-900658,ORD-100658,RTO
TRK-900659,ORD-100659,Delivered
TRK-900660,ORD-100660,Delivered
TRK-900661,ORD-100661,In Transit
TRK-900662,ORD-100662,In Transit
TRK-900664,ORD-100664,Delivered
TRK-900665,ORD-100665,RTO
TRK-900666,ORD-100666,In Transit
TRK-900667,ORD-100667,In Transit
TRK-900668,ORD-100668,RTO
TRK-900669,ORD-100669,Delivered
TRK-900670,ORD-100670,In Transit
TRK-900671,ORD-100671,RTO
TRK-900672,ORD-100672,RTO
TRK-900673,ORD-100673,RTO
TRK-900674,ORD-100674,In Transit
TRK-900675,ORD-100675,RTO
TRK-900676,ORD-100676,Delivered
TRK-900677,ORD-100677,Delivered
TRK-900678,ORD-100678,Delivered
TRK-900679,ORD-100679,RTO
TRK-900680,ORD-100680,RTO
TRK-900681,ORD-100681,Delivered
TRK-900682,ORD-100682,RTO
TRK-900683,ORD-100683,Delivered
TRK-900684,ORD-100684,RTO
TRK-900685,ORD-100685,RTO
TRK-900686,ORD-100686,RTO
TRK-900687,ORD-100687,RTO
TRK-900688,ORD-100688,Delivered
TRK-900689,ORD-100689,Delivered
TRK-900690,ORD-100690,RTO
TRK-900691,ORD-100691,Delivered
TRK-900692,ORD-100692,In Transit
TRK-900693,ORD-100693,RTO
TRK-900694,ORD-100694,Delivered
TRK-900695,ORD-100695,Delivered
TRK-900696,ORD-100696,RTO
TRK-900697,ORD-100697,Delivered
TRK-900698,ORD-100698,In Transit
TRK-900699,ORD-100699,Delivered
TRK-900700,ORD-100700,Delivered
TRK-900701,ORD-100701,Delivered
TRK-900702,ORD-100702,RTO
TRK-900703,ORD-100703,In Transit
TRK-900704,ORD-100704,In Transit
TRK-900705,ORD-100705,Delivered
TRK-900706,ORD-100706,Delivered
TRK-900707,ORD-100707,RTO
TRK-900708,ORD-100708,In Transit
TRK-900709,ORD-100709,Delivered
TRK-900710,ORD-100710,RTO
TRK-900711,ORD-100711,In Transit
TRK-900712,ORD-100712,In Transit
TRK-900713,ORD-100713,In Transit
TRK-900714,ORD-100714,Delivered
TRK-900715,ORD-100715,RTO
TRK-900716,ORD-100716,RTO
TRK-900718,ORD-100718,RTO
TRK-900719,ORD-100719,In Transit
TRK-900720,ORD-100720,RTO
TRK-900721,ORD-100721,RTO
TRK-900722,ORD-100722,RTO
TRK-900723,ORD-100723,In Transit
TRK-900724,ORD-100724,Delivered
TRK-900725,ORD-100725,In Transit
TRK-900726,ORD-100726,RTO
TRK-900727,ORD-100727,RTO
TRK-900728,ORD-100728,In Transit
TRK-900729,ORD-100729,RTO
TRK-900730,ORD-100730,RTO
TRK-900731,ORD-100731,RTO
TRK-900732,ORD-100732,Delivered
TRK-900733,ORD-100733,In Transit
TRK-900734,ORD-100734,RTO
TRK-900735,ORD-100735,Delivered
TRK-900736,ORD-100736,RTO
TRK-900737,ORD-100737,In Transit
TRK-900738,ORD-100738,Delivered
TRK-900739,ORD-100739,RTO
TRK-900740,ORD-100740,Delivered
TRK-900741,ORD-100741,In Transit
TRK-900742,ORD-100742,In Transit
TRK-900743,ORD-100743,In Transit
TRK-900744,ORD-100744,RTO
TRK-900745,ORD-100745,RTO
TRK-900746,ORD-100746,In Transit
TRK-900747,ORD-100747,In Transit
TRK-900748,ORD-100748,Delivered
TRK-900749,ORD-100749,In Transit
TRK-900750,ORD-100750,Delivered
TRK-900751,ORD-100751,Delivered
TRK-900752,ORD-100752,In Transit
TRK-900753,ORD-100753,Delivered
TRK-900754,ORD-100754,RTO
TRK-900755,ORD-100755,Delivered
TRK-900756,ORD-100756,In Transit
TRK-900757,ORD-100757,RTO
TRK-900758,ORD-100758,Delivered
TRK-900759,ORD-100759,RTO
TRK-900760,ORD-100760,RTO
TRK-900761,ORD-100761,Delivered
TRK-900762,ORD-100762,Delivered
TRK-900763,ORD-100763,Delivered
TRK-900764,ORD-100764,In Transit
TRK-900765,ORD-100765,Delivered
TRK-900766,ORD-100766,In Transit
TRK-900767,ORD-100767,RTO
TRK-900768,ORD-100768,RTO
TRK-900769,ORD-100769,RTO
TRK-900770,ORD-100770,In Transit
TRK-900772,ORD-100772,RTO
TRK-900773,ORD-100773,RTO
TRK-900774,ORD-100774,RTO
TRK-900775,ORD-100775,RTO
TRK-900776,ORD-100776,Delivered
TRK-900777,ORD-100777,Delivered
TRK-900778,ORD-100778,In Transit
TRK-900779,ORD-100779,RTO
TRK-900780,ORD-100780,RTO
TRK-900781,ORD-100781,RTO
TRK-900782,ORD-100782,In Transit
TRK-900783,ORD-100783,In Transit
TRK-900784,ORD-100784,Delivered
TRK-900785,ORD-100785,Delivered
TRK-900786,ORD-100786,In Transit
TRK-900787,ORD-100787,Delivered
TRK-900788,ORD-100788,Delivered
