OrderID,OrderDate,SKU,Revenue,Payment_Status
ORD-100098,2025-09-14,OURO-46,439,Pending
ORD-100099,2025-10-11,OURO-28,350,Pending
ORD-100100,2026-07-25,OURO-50,280,Paid
ORD-100101,2026-03-10,OURO-65,402,Pending
ORD-100102,2026-01-20,OURO-39,173,Paid
ORD-100103,2025-10-29,OURO-79,95,Pending
ORD-100104,2026-03-16,OURO-16,465,Paid
ORD-100105,2026-08-06,OURO-92,225,Paid
ORD-100106,2026-06-06,OURO-17,448,Paid
ORD-100107,2025-10-11,OURO-24,420,Pending
ORD-100108,2026-06-14,OURO-44,223,Pending
ORD-100109,2025-10-22,OURO-40,441,Pending
ORD-100110,2026-01-07,OURO-17,124,Paid
ORD-100111,2026-07-25,OURO-13,368,Pending
ORD-100112,2025-12-23,OURO-66,496,Paid
ORD-100113,2026-05-13,OURO-53,324,Paid
ORD-100114,2026-07-30,OURO-35,237,Paid
ORD-100115,2025-11-16,OURO-17,210,Paid
ORD-100116,2026-05-17,OURO-87,172,Paid
ORD-100117,2026-08-24,OURO-62,492,Paid
ORD-100118,2026-01-18,OURO-17,130,Paid
ORD-100119,2026-03-21,OURO-27,133,Pending
ORD-100120,2025-10-22,OURO-56,281,Paid
ORD-100121,2026-01-19,OURO-31,135,Paid
ORD-100122,2026-08-17,OURO-93,349,Paid
ORD-100123,2025-11-24,OURO-91,445,Paid
ORD-100124,2025-09-29,OURO-48,169,Paid
ORD-100125,2026-04-18,OURO-33,218,Pending
ORD-100126,2026-01-24,OURO-14,285,Pending
ORD-100127,2026-04-05,OURO-30,268,Pending
ORD-100128,2026-05-17,OURO-91,482,Paid
ORD-100129,2026-03-05,OURO-41,362,Paid
ORD-100130,2026-05-07,OURO-95,378,Paid
ORD-100131,2026-09-03,OURO-48,63,Paid
ORD-100132,2025-09-16,OURO-37,94,Paid
ORD-100133,2026-04-09,OURO-69,120,Paid
ORD-100134,2025-12-17,OURO-37,426,Paid
ORD-100135,2026-07-12,OURO-61,272,Pending
ORD-100136,2026-08-21,OURO-83,300,Paid
ORD-100137,2026-01-19,OURO-66,354,Paid
ORD-100138,2026-08-13,OURO-78,420,Paid
ORD-100139,2026-05-21,OURO-41,298,Pending
ORD-100140,2026-02-12,OURO-72,374,Pending
ORD-100141,2026-09-06,OURO-91,236,Pending
ORD-100142,2026-03-16,OURO-53,52,Paid
ORD-100143,2026-01-28,OURO-15,356,Pending
ORD-100144,2026-08-05,OURO-62,334,Paid
ORD-100145,2026-08-11,OURO-46,131,Paid
ORD-100146,2026-08-25,OURO-24,378,Pending
ORD-100147,2026-03-25,OURO-18,333,Paid
ORD-100148,2026-08-05,OURO-35,308,Pending
ORD-100149,2026-02-26,OURO-95,240,Paid
ORD-100150,2025-10-08,OURO-86,413,Pending
ORD-100151,2025-12-24,OURO-38,300,Paid
ORD-100152,2025-12-03,OURO-98,234,Pending
ORD-100153,2026-03-05,OURO-93,402,Paid
ORD-100154,2025-12-11,OURO-64,115,Paid
ORD-100155,2026-01-26,OURO-34,319,Pending
ORD-100156,2026-07-31,OURO-59,374,Paid
ORD-100157,2025-09-19,OURO-41,293,Paid
ORD-100158,2026-07-17,OURO-77,319,Pending
ORD-100159,2026-05-19,OURO-56,446,Paid
ORD-100160,2026-06-21,OURO-87,405,Pending
ORD-100161,2026-03-23,OURO-99,322,Paid
ORD-100162,2026-04-02,OURO-27,500,Paid
ORD-100163,2026-06-28,OURO-67,53,Paid
ORD-100164,2026-08-03,OURO-19,467,Pending
ORD-100165,2026-08-12,OURO-13,371,Paid
ORD-100166,2026-08-04,OURO-23,307,Paid
ORD-100167,2026-04-21,OURO-43,432,Paid
ORD-100168,2026-06-25,OURO-96,94,Pending
ORD-100169,2026-07-17,OURO-11,221,Pending
ORD-100170,2026-01-20,OURO-31,244,Paid
ORD-100171,2026-03-31,OURO-66,88,Pending
ORD-100172,2026-06-16,OURO-31,244,Paid
ORD-100173,2025-11-03,OURO-53,182,Pending
ORD-100174,2026-01-08,OURO-96,117,Paid
ORD-100175,2026-05-15,OURO-56,309,Paid
ORD-100176,2026-06-18,OURO-76,133,Paid
ORD-100177,2025-11-21,OURO-53,499,Paid
ORD-100178,2025-09-23,OURO-42,228,Pending
ORD-100179,2025-10-30,OURO-90,215,Paid
ORD-100180,2026-06-04,OURO-10,176,Paid
ORD-100181,2026-05-01,OURO-47,135,Pending
ORD-100182,2025-11-02,OURO-68,210,Pending
ORD-100183,2026-08-26,OURO-44,218,Paid
ORD-100184,2026-03-24,OURO-18,370,Paid
ORD-100185,2026-02-28,OURO-63,231,Pending
ORD-100186,2026-07-17,OURO-70,198,Pending
ORD-100187,2026-01-07,OURO-27,362,Pending
ORD-100188,2026-05-31,OURO-90,147,Paid
ORD-100189,2025-12-03,OURO-64,314,Paid
ORD-100190,2025-09-11,OURO-65,351,Pending
ORD-100191,2026-04-18,OURO-35,269,Pending
ORD-100192,2026-03-06,OURO-17,419,Pending
ORD-100193,2026-08-12,OURO-39,449,Paid
ORD-100194,2025-10-14,OURO-17,231,Paid
ORD-100195,2026-05-22,OURO-55,432,Paid
ORD-100196,2026-05-02,OURO-24,229,Paid
ORD-100197,2025-09-24,OURO-46,455,Paid
ORD-100198,2025-12-16,OURO-70,71,Pending
ORD-100199,2025-09-10,OURO-97,235,Paid
ORD-100200,2026-07-23,OURO-22,156,Paid
ORD-100201,2026-03-16,OURO-99,471,Paid
ORD-100202,2026-02-03,OURO-59,203,Pending
ORD-100203,2025-11-02,OURO-72,203,Paid
ORD-100204,2025-11-25,OURO-97,54,Paid
ORD-100205,2026-06-13,OURO-50,310,Paid
ORD-100206,2026-06-08,OURO-11,65,Pending
ORD-100207,2026-04-17,OURO-82,269,Paid
ORD-100208,2025-11-28,OURO-95,340,Pending
ORD-100209,2025-11-05,OURO-98,116,Paid
ORD-100210,2026-02-03,OURO-68,236,Paid
ORD-100211,2026-06-04,OURO-31,310,Paid
ORD-100212,2025-10-11,OURO-68,433,Pending
ORD-100213,2026-05-22,OURO-28,119,Pending
ORD-100214,2026-07-14,OURO-57,478,Pending
ORD-100215,2026-07-10,OURO-96,296,Pending
ORD-100216,2026-05-13,OURO-22,204,Paid
ORD-100217,2026-06-15,OURO-94,255,Paid
ORD-100218,2026-07-04,OURO-88,289,Pending
ORD-100219,2025-12-21,OURO-21,465,Paid
ORD-100220,2026-07-19,OURO-19,317,Pending
ORD-100221,2026-07-04,OURO-41,352,Paid
ORD-100222,2026-07-26,OURO-92,420,Paid
ORD-100223,2026-02-02,OURO-91,491,Paid
ORD-100224,2025-10-30,OURO-33,59,Pending
ORD-100225,2025-11-11,OURO-82,61,Paid
ORD-100226,2026-09-04,OURO-39,172,Paid
ORD-100227,2026-02-11,OURO-99,485,Paid
ORD-100228,2025-09-23,OURO-99,308,Pending
ORD-100229,2026-03-06,OURO-90,195,Paid
ORD-100230,2026-01-07,OURO-71,53,Paid
ORD-100231,2026-06-01,OURO-31,462,Pending
ORD-100232,2026-05-16,OURO-29,123,Paid
ORD-100233,2025-12-16,OURO-16,202,Pending
ORD-100234,2026-08-30,OURO-10,147,Paid
ORD-100235,2026-01-17,OURO-90,356,Paid
ORD-100236,2026-08-22,OURO-91,151,Paid
ORD-100237,2026-04-05,OURO-33,337,Pending
ORD-100238,2026-01-18,OURO-99,89,Paid
ORD-100239,2026-07-15,OURO-38,367,Paid
ORD-100240,2026-04-27,OURO-30,338,Pending
ORD-100241,2025-12-05,OURO-73,111,Paid
ORD-100242,2026-02-05,OURO-46,178,Paid
ORD-100243,2026-09-01,OURO-97,460,Paid
ORD-100244,2026-01-04,OURO-89,212,Pending
ORD-100245,2025-10-20,OURO-76,110,Paid
ORD-100246,2025-10-06,OURO-29,148,Paid
ORD-100247,2026-06-04,OURO-91,347,Paid
ORD-100248,2026-07-02,OURO-41,133,Paid
ORD-100249,2025-10-30,OURO-81,60,Paid
ORD-100250,2026-04-12,OURO-29,227,Paid
ORD-100251,2026-08-23,OURO-88,78,Pending
ORD-100252,2026-08-02,OURO-47,122,Paid
ORD-100253,2025-12-27,OURO-66,492,Paid
ORD-100254,2026-09-03,OURO-33,439,Paid
ORD-100255,2025-09-22,OURO-34,82,Paid
ORD-100256,2026-08-27,OURO-79,460,Paid
ORD-100257,2026-04-30,OURO-83,432,Paid
ORD-100258,2026-08-27,OURO-70,178,Paid
ORD-100259,2026-04-29,OURO-76,171,Pending
ORD-100260,2026-04-10,OURO-34,288,Paid
ORD-100261,2026-05-22,OURO-62,306,Paid
ORD-100262,2026-08-03,OURO-37,454,Paid
ORD-100263,2025-12-17,OURO-19,306,Paid
ORD-100264,2026-08-25,OURO-44,310,Paid
ORD-100265,2026-03-05,OURO-75,428,Paid
ORD-100266,2025-11-07,OURO-58,307,Pending
ORD-100267,2025-09-29,OURO-82,226,Paid
ORD-100268,2026-06-21,OURO-94,333,Pending
ORD-100269,2026-08-09,OURO-67,177,Paid
ORD-100270,2026-07-22,OURO-70,60,Paid
ORD-100271,2026-06-01,OURO-48,189,Paid
ORD-100272,2026-07-26,OURO-97,433,Paid
ORD-100273,2025-12-21,OURO-80,482,Paid
ORD-100274,2026-06-05,OURO-24,353,Paid
ORD-100275,2025-10-19,OURO-38,325,Paid
ORD-100276,2026-06-04,OURO-44,135,Pending
ORD-100277,2025-11-20,OURO-94,484,Pending
ORD-100278,2026-04-11,OURO-75,392,Pending
ORD-100279,2026-02-25,OURO-77,455,Paid
ORD-100280,2026-03-10,OURO-53,249,Paid
ORD-100281,2026-08-12,OURO-81,330,Pending
ORD-100282,2025-11-22,OURO-85,356,Pending
ORD-100283,2026-03-03,OURO-14,312,Paid
ORD-100284,2026-06-15,OURO-86,385,Paid
ORD-100285,2026-07-19,OURO-74,156,Pending
ORD-100286,2026-08-26,OURO-49,380,Paid
ORD-100287,2026-08-29,OURO-25,470,Paid
ORD-100288,2025-09-24,OURO-91,290,Paid
ORD-100289,2026-02-27,OURO-39,468,Paid
ORD-100290,2026-09-05,OURO-69,360,Pending
ORD-100291,2026-03-15,OURO-10,225,Paid
ORD-100292,2026-03-06,OURO-91,349,Paid
ORD-100293,2026-08-25,OURO-91,433,Paid
ORD-100294,2026-08-18,OURO-96,490,Paid
ORD-100295,2026-05-13,OURO-86,360,Pending
ORD-100296,2026-08-11,OURO-58,54,Pending
ORD-100297,2026-07-22,OURO-26,163,Paid
ORD-100298,2026-02-08,OURO-98,392,Pending
ORD-100299,2026-04-20,OURO-32,219,Pending
ORD-100300,2025-11-26,OURO-58,183,Paid
ORD-100301,2026-04-09,OURO-46,118,Pending
ORD-100302,2025-12-09,OURO-46,339,Pending
ORD-100303,2026-05-12,OURO-39,325,Paid
ORD-100304,2026-07-25,OURO-96,359,Pending
ORD-100305,2025-11-28,OURO-19,188,Paid
ORD-100306,2026-07-05,OURO-54,389,Paid
ORD-100307,2026-01-25,OURO-58,196,Pending
ORD-100308,2026-05-22,OURO-73,479,Paid
ORD-100309,2025-11-15,OURO-57,221,Paid
ORD-100310,2025-11-15,OURO-78,292,Paid
ORD-100311,2025-12-01,OURO-48,364,Paid
ORD-100312,2026-08-10,OURO-77,445,Paid
ORD-100313,2026-03-09,OURO-18,470,Paid
ORD-100314,2026-06-06,OURO-97,66,Paid
ORD-100315,2025-11-20,OURO-56,180,Pending
ORD-100316,2026-05-19,OURO-65,424,Pending
ORD-100317,2026-01-17,OURO-57,160,Paid
ORD-100318,2026-03-27,OURO-60,221,Paid
ORD-100319,2026-01-23,OURO-82,107,Paid
ORD-100320,2025-09-29,OURO-22,433,Paid
ORD-100321,2026-06-10,OURO-61,290,Pending
ORD-100322,2025-10-30,OURO-87,256,Paid
ORD-100323,2026-02-21,OURO-98,373,Paid
ORD-100324,2026-06-03,OURO-62,298,Pending
ORD-100325,2025-12-30,OURO-44,462,Pending
ORD-100326,2025-11-16,OURO-64,343,Paid
ORD-100327,2026-07-01,OURO-26,368,Paid
ORD-100328,2026-09-07,OURO-13,428,Pending
ORD-100329,2026-02-19,OURO-59,66,Paid
ORD-100330,2026-01-27,OURO-47,489,Pending
ORD-100331,2025-09-10,OURO-42,469,Paid
ORD-100332,2026-05-17,OURO-61,243,Paid
ORD-100333,2026-06-22,OURO-46,215,Pending
ORD-100334,2026-01-27,OURO-76,109,Paid
ORD-100335,2026-07-26,OURO-11,333,Pending
ORD-100336,2025-10-19,OURO-67,149,Paid
ORD-100337,2026-07-26,OURO-40,444,Paid
ORD-100338,2025-12-19,OURO-55,338,Pending
ORD-100339,2025-12-03,OURO-54,260,Pending
ORD-100340,2026-01-26,OURO-99,261,Paid
ORD-100341,2026-07-12,OURO-58,340,Paid
ORD-100342,2026-06-18,OURO-50,269,Paid
ORD-100343,2025-11-15,OURO-32,233,Paid
ORD-100344,2026-03-08,OURO-96,325,Pending
ORD-100345,2025-11-05,OURO-22,362,Paid
ORD-100346,2025-10-18,OURO-19,161,Paid
ORD-100347,2025-11-13,OURO-58,132,Paid
ORD-100348,2025-12-31,OURO-98,466,Paid
ORD-100349,2025-11-01,OURO-83,55,Paid
ORD-100350,2025-11-03,OURO-67,354,Paid
ORD-100351,2025-10-12,OURO-30,266,Pending
ORD-100352,2025-12-12,OURO-35,216,Pending
ORD-100353,2026-06-21,OURO-96,371,Paid
ORD-100354,2026-08-25,OURO-85,169,Paid
ORD-100355,2026-05-04,OURO-61,157,Pending
ORD-100356,2026-07-18,OURO-87,107,Pending
ORD-100357,2026-07-11,OURO-98,152,Pending
ORD-100358,2025-11-20,OURO-76,484,Paid
ORD-100359,2026-03-18,OURO-39,435,Paid
ORD-100360,2026-04-05,OURO-67,320,Paid
ORD-100361,2026-01-31,OURO-26,96,Paid
ORD-100362,2026-07-31,OURO-72,59,Paid
ORD-100363,2026-06-23,OURO-13,192,Paid
ORD-100364,2025-12-09,OURO-99,300,Paid
ORD-100365,2025-10-17,OURO-90,425,Pending
ORD-100366,2025-11-18,OURO-31,428,Pending
ORD-100367,2026-07-25,OURO-32,475,Paid
ORD-100368,2026-08-06,OURO-28,124,Paid
ORD-100369,2026-01-27,OURO-19,298,Paid
ORD-100370,2026-03-23,OURO-34,75,Paid
ORD-100371,2026-04-21,OURO-80,425,Pending
ORD-100372,2026-02-04,OURO-55,303,Paid
ORD-100373,2025-11-03,OURO-41,283,Paid
ORD-100374,2026-03-20,OURO-97,483,Paid
ORD-100375,2026-08-08,OURO-56,234,Paid
ORD-100376,2026-07-24,OURO-86,225,Pending
ORD-100377,2025-11-28,OURO-86,80,Paid
ORD-100378,2026-03-03,OURO-39,437,Paid
ORD-100379,2026-05-02,OURO-50,460,Paid
ORD-100380,2026-03-24,OURO-93,84,Paid
ORD-100381,2026-03-06,OURO-79,275,Pending
ORD-100382,2026-02-22,OURO-71,286,Pending
ORD-100383,2026-04-17,OURO-44,339,Pending
ORD-100384,2026-03-22,OURO-39,376,Paid
ORD-100385,2025-11-12,OURO-76,341,Paid
ORD-100386,2026-02-14,OURO-45,420,Paid
ORD-100387,2026-04-01,OURO-22,468,Pending
ORD-100388,2025-12-17,OURO-49,385,Pending
ORD-100389,2026-06-20,OURO-30,80,Paid
ORD-100390,2026-01-26,OURO-46,354,Paid
ORD-100391,2025-11-16,OURO-17,418,Paid
ORD-100392,2025-09-12,OURO-34,264,Paid
ORD-100393,2025-11-18,OURO-85,324,Paid
ORD-100394,2026-04-27,OURO-11,62,Paid
ORD-100395,2026-07-03,OURO-61,243,Paid
ORD-100396,2026-04-02,OURO-93,433,Pending
ORD-100397,2026-04-05,OURO-64,106,Pending
ORD-100398,2026-08-10,OURO-40,321,Paid
ORD-100399,2026-06-23,OURO-65,427,Paid
ORD-100400,2025-12-25,OURO-24,394,Paid
ORD-100401,2025-09-21,OURO-10,398,Paid
ORD-100402,2025-10-04,OURO-72,310,Paid
ORD-100403,2026-05-16,OURO-94,81,Pending
ORD-100404,2025-10-16,OURO-28,368,Paid
ORD-100405,2026-08-23,OURO-27,462,Paid
ORD-100406,2026-08-20,OURO-47,336,Paid
ORD-100407,2026-08-03,OURO-31,171,Pending
ORD-100408,2026-08-10,OURO-97,137,Pending
ORD-100409,2026-01-10,OURO-62,71,Pending
ORD-100410,2026-07-30,OURO-86,201,Pending
ORD-100411,2025-09-22,OURO-84,308,Paid
ORD-100412,2026-09-03,OURO-71,405,Pending
ORD-100413,2026-01-27,OURO-76,100,Paid
ORD-100414,2026-03-16,OURO-81,121,Paid
ORD-100415,2026-04-22,OURO-45,193,Paid
ORD-100416,2026-06-23,OURO-80,338,Pending
ORD-100417,2025-09-10,OURO-93,304,Paid
ORD-100418,2026-07-10,OURO-91,220,Paid
ORD-100419,2025-11-26,OURO-95,323,Pending
ORD-100420,2026-05-26,OURO-93,424,Pending
ORD-100421,2025-12-20,OURO-55,191,Pending
ORD-100422,2026-05-22,OURO-41,65,Paid
ORD-100423,2026-01-10,OURO-91,394,Pending
ORD-100424,2026-08-22,OURO-95,71,Pending
ORD-100425,2025-12-17,OURO-52,376,Paid
ORD-100426,2025-12-13,OURO-32,155,Paid
ORD-100427,2025-11-14,OURO-55,171,Pending
ORD-100428,2025-11-29,OURO-72,154,Pending
ORD-100429,2025-11-24,OURO-36,372,Pending
ORD-100430,2026-02-07,OURO-73,216,Paid
ORD-100431,2025-12-05,OURO-85,254,Paid
ORD-100432,2025-09-18,OURO-88,176,Paid
ORD-100433,2026-03-04,OURO-33,434,Paid
ORD-100434,2026-03-27,OURO-66,255,Paid
ORD-100435,2025-12-06,OURO-49,288,Paid
ORD-100436,2026-01-08,OURO-74,174,Paid
ORD-100437,2025-12-24,OURO-54,259,Paid
ORD-100438,2026-04-21,OURO-18,296,Paid
ORD-100439,2026-06-13,OURO-75,279,Pending
ORD-100440,2025-12-05,OURO-87,372,Paid
ORD-100441,2026-04-03,OURO-70,410,Paid
ORD-100442,2026-03-14,OURO-24,222,Pending
ORD-100443,2025-12-24,OURO-97,51,Paid
ORD-100444,2026-03-04,OURO-67,488,Pending
ORD-100445,2025-11-08,OURO-22,287,Paid
ORD-100446,2025-10-27,OURO-83,105,Paid
ORD-100447,2026-03-28,OURO-43,236,Paid
ORD-100448,2026-07-11,OURO-84,327,Paid
ORD-100449,2026-07-27,OURO-32,290,Paid
ORD-100450,2025-10-04,OURO-64,287,Pending
ORD-100451,2026-07-12,OURO-30,188,Paid
ORD-100452,2025-12-22,OURO-43,324,Paid
ORD-100453,2026-07-26,OURO-50,322,Paid
ORD-100454,2026-08-01,OURO-31,134,Paid
ORD-100455,2026-04-25,OURO-74,113,Paid
ORD-100456,2026-07-22,OURO-86,139,Paid
ORD-100457,2026-07-21,OURO-33,253,Paid
ORD-100458,2026-03-09,OURO-34,425,Paid
ORD-100459,2026-02-16,OURO-54,145,Paid
ORD-100460,2026-06-23,OURO-54,421,Pending
ORD-100461,2025-12-27,OURO-59,79,Pending
ORD-100462,2026-02-16,OURO-30,209,Paid
ORD-100463,2026-06-25,OURO-79,294,Paid
ORD-100464,2025-12-14,OURO-72,358,Paid
ORD-100465,2026-03-29,OURO-34,372,Paid
ORD-100466,2026-01-19,OURO-61,189,Paid
ORD-100467,2026-08-12,OURO-95,234,Paid
ORD-100468,2026-03-06,OURO-87,483,Paid
ORD-100469,2025-12-02,OURO-12,473,Pending
ORD-100470,2026-07-08,OURO-67,434,Paid
ORD-100471,2025-12-30,OURO-46,160,Paid
ORD-100472,2025-11-26,OURO-41,338,Paid
ORD-100473,2026-03-29,OURO-51,384,Pending
ORD-100474,2025-10-10,OURO-12,52,Paid
ORD-100475,2025-12-20,OURO-69,487,Pending
ORD-100476,2025-10-09,OURO-84,487,Paid
ORD-100477,2026-06-02,OURO-60,493,Paid
ORD-100478,2026-08-12,OURO-44,414,Paid
ORD-100479,2026-07-23,OURO-96,499,Paid
ORD-100480,2026-02-03,OURO-69,318,Paid
ORD-100481,2026-05-19,OURO-55,129,Paid
ORD-100482,2026-07-28,OURO-42,411,Pending
ORD-100483,2026-06-13,OURO-84,460,Paid
ORD-100484,2026-02-06,OURO-75,404,Pending
ORD-100485,2026-07-02,OURO-57,82,Paid
ORD-100486,2026-07-30,OURO-64,417,Paid
ORD-100487,2025-10-26,OURO-61,277,Pending
ORD-100488,2025-12-24,OURO-92,302,Paid
ORD-100489,2026-05-18,OURO-53,399,Pending
ORD-100490,2026-05-05,OURO-47,326,Paid
ORD-100491,2026-03-02,OURO-48,252,Pending
ORD-100492,2026-08-15,OURO-86,393,Paid
ORD-100493,2026-04-07,OURO-74,299,Paid
ORD-100494,2026-03-17,OURO-70,478,Paid
ORD-100495,2026-07-25,OURO-89,312,Pending
ORD-100496,2026-06-25,OURO-16,290,Pending
ORD-100497,2026-02-23,OURO-80,472,Pending
ORD-100498,2026-04-04,OURO-42,341,Paid
ORD-100499,2026-07-08,OURO-15,81,Paid
ORD-100500,2026-01-27,OURO-47,187,Paid
ORD-100501,2026-05-26,OURO-14,323,Paid
ORD-100502,2026-08-11,OURO-60,286,Paid
ORD-100503,2025-12-12,OURO-66,345,Pending
ORD-100504,2026-07-15,OURO-41,95,Paid
ORD-100505,2026-07-20,OURO-83,186,Paid
ORD-100506,2026-03-11,OURO-89,140,Paid
ORD-100507,2025-09-13,OURO-89,423,Paid
ORD-100508,2026-07-18,OURO-85,496,Pending
ORD-100509,2026-08-15,OURO-63,75,Paid
ORD-100510,2026-05-10,OURO-24,345,Paid
ORD-100511,2026-09-09,OURO-69,163,Paid
ORD-100512,2026-01-24,OURO-45,343,Paid
ORD-100513,2025-09-15,OURO-23,344,Pending
ORD-100514,2026-01-09,OURO-78,275,Pending
ORD-100515,2026-01-10,OURO-51,403,Pending
ORD-100516,2025-10-19,OURO-74,394,Pending
ORD-100517,2026-06-26,OURO-10,243,Pending
ORD-100518,2026-07-01,OURO-19,124,Pending
ORD-100519,2026-03-15,OURO-63,397,Pending
ORD-100520,2025-10-25,OURO-29,223,Paid
ORD-100521,2026-09-05,OURO-89,453,Paid
ORD-100522,2026-02-13,OURO-50,357,Pending
ORD-100523,2026-02-17,OURO-47,350,Pending
ORD-100524,2026-02-17,OURO-38,470,Paid
ORD-100525,2025-12-27,OURO-93,268,Pending
ORD-100526,2025-09-10,OURO-15,173,Pending
ORD-100527,2026-08-01,OURO-91,404,Paid
ORD-100528,2026-03-14,OURO-15,191,Pending
ORD-100529,2026-03-06,OURO-84,368,Paid
ORD-100530,2026-08-28,OURO-21,105,Pending
ORD-100531,2026-09-05,OURO-90,406,Paid
ORD-100532,2025-11-29,OURO-59,142,Paid
ORD-100533,2026-08-28,OURO-85,442,Paid
ORD-100534,2025-11-17,OURO-82,197,Pending
ORD-100535,2026-04-23,OURO-26,113,Paid
ORD-100536,2026-05-11,OURO-86,146,Paid
